label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days,case,exit,entry_gate,min_ratio,max_positions,active_slot
break_big_bull_low,2020-02-19,2020-06-30,93,922283.5701982146,-7.771642980178539,1033191.4459717928,3.31914459717928,12.025355254863989,-33.8660829740568,34,17,17,17,23.52941176470588,-3.9369580446035917,-6.972396313525819,13.941176470588236,us_bear_2022_defense,break_big_bull_low,spy_above_ma5_and_ma5_up,0.6,none,50000.0
break_big_bull_low,2020-02-19,2020-06-30,93,922283.5701982146,-7.771642980178539,1033191.4459717928,3.31914459717928,12.025355254863989,-33.8660829740568,34,17,17,17,23.52941176470588,-3.9369580446035917,-6.972396313525819,13.941176470588236,us_bear_2022_defense,break_big_bull_low,spy_above_ma5_and_ma5_up,0.6,20,50000.0
break_big_bull_low_and_vol_1_3x,2020-02-19,2020-06-30,93,922283.5701982146,-7.771642980178539,1032456.2636686251,3.2456263668625196,11.945641994547573,-33.624028791992046,21,11,10,11,9.090909090909092,-11.073442104534568,-14.397067981694233,23.363636363636363,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma20,0.6,10,50000.0
ma5_down_vol_1_3x,2020-02-19,2020-06-30,93,922283.5701982146,-7.771642980178539,1028248.3282252133,2.824832822521328,11.489390188770798,-34.72155557722485,56,43,13,43,58.139534883720934,5.229379454808695,3.636253710981596,26.0,us_bear_2022_defense,ma5_down_vol_1_3x,spy_up_day,0.5,15,50000.0
market_break_ma10_score_lt_20pct,2020-02-19,2020-06-30,93,922283.5701982146,-7.771642980178539,1028165.818593303,2.8165818593302916,11.480443956334652,-34.65502688076403,65,51,14,51,47.05882352941176,1.2092075421332595,-0.49235525127037105,19.019607843137255,us_bear_2022_defense,market_break_ma10_score_lt_20pct,spy_above_ma5,0.5,none,50000.0
market_break_ma10_score_lt_20pct,2020-02-19,2020-06-30,93,922283.5701982146,-7.771642980178539,1028165.818593303,2.8165818593302916,11.480443956334652,-34.65502688076403,65,51,14,51,47.05882352941176,1.2092075421332595,-0.49235525127037105,19.019607843137255,us_bear_2022_defense,market_break_ma10_score_lt_20pct,spy_above_ma5,0.5,20,50000.0
break_big_bull_low_and_vol_1_3x,2020-02-19,2020-06-30,93,922283.5701982146,-7.771642980178539,1028063.9152807794,2.806391528077934,11.46939493455692,-33.624028791992046,27,12,15,12,8.333333333333332,-10.675243799165584,-14.04695208983483,22.75,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma20,0.6,15,50000.0
break_big_bull_low_and_vol_1_3x,2020-02-19,2020-06-30,93,922283.5701982146,-7.771642980178539,1027897.8758715595,2.7897875871559563,11.451391858866856,-33.624028791992046,31,13,18,13,7.6923076923076925,-10.723244911304882,-13.696836197975426,22.076923076923077,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma20,0.6,none,50000.0
break_big_bull_low_and_vol_1_3x,2020-02-19,2020-06-30,93,922283.5701982146,-7.771642980178539,1027897.8758715595,2.7897875871559563,11.451391858866856,-33.624028791992046,31,13,18,13,7.6923076923076925,-10.723244911304882,-13.696836197975426,22.076923076923077,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma20,0.6,20,50000.0
market_break_ma10_score_lt_20pct,2020-02-19,2020-06-30,93,922283.5701982146,-7.771642980178539,1027583.213627479,2.7583213627478953,11.41727412607314,-34.65502688076403,56,44,12,44,52.27272727272727,2.0670721083041386,0.8138013785778497,20.204545454545453,us_bear_2022_defense,market_break_ma10_score_lt_20pct,spy_above_ma5,0.5,15,50000.0
