label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,entry,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
break_prev5_low,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1318142.7306128698,31.81427306128699,0.6185899194116828,-27.190318748799413,395,370,25,tw_bear_2020,new_above_all_ma_and_score>=50%,370,31.08108108108108,-0.029789667823087406,-2.3055862734977675,17.354054054054053
ma5_and_break_prev5_low,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1318142.7306128698,31.81427306128699,0.6185899194116828,-27.190318748799413,395,370,25,tw_bear_2020,new_above_all_ma_and_score>=50%,370,31.08108108108108,-0.029789667823087406,-2.3055862734977675,17.354054054054053
market_break_ma10_score_lt_20pct,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1298113.5422682827,29.81135422682828,-0.9103102836229726,-28.720334787196556,337,314,23,tw_bear_2020,new_above_all_ma_and_score>=50%,314,32.48407643312102,0.6537026982802278,-2.4033138067583892,19.178343949044585
market_break_ma10_sell_lowest_50pct,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1293216.7124171634,29.32167124171634,-1.2841029718137387,-28.269953059995522,557,532,25,tw_bear_2020,new_above_all_ma_and_score>=50%,532,35.338345864661655,0.7652140117699495,-1.1107007306302208,10.398496240601503
ma5_score_lt_10pct,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1292132.421657364,29.213242165736396,-1.3668707971636995,-28.437834578576272,298,270,28,tw_bear_2020,new_above_all_ma_and_score>=50%,270,36.666666666666664,0.5168967895548374,-2.2069533898388896,26.885185185185186
break_ma20,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1289050.4084188275,28.905040841882744,-1.602131986238653,-29.250196228340407,358,331,27,tw_bear_2020,new_above_all_ma_and_score>=50%,331,32.93051359516616,0.0516917748185072,-2.169636035209699,19.31117824773414
ma5_down_vol_1_3x,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1285098.2011766222,28.50982011766221,-1.9038182228991452,-30.97032163451957,269,242,27,tw_bear_2020,new_above_all_ma_and_score>=50%,242,42.561983471074385,1.716914277197111,-0.9591339914228003,28.363636363636363
ma5_and_market_break_ma10,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1280126.069883092,28.01260698830921,-2.283358941844338,-28.423588372005927,480,455,25,tw_bear_2020,new_above_all_ma_and_score>=50%,455,32.08791208791209,0.772798186774857,-1.411299417029932,12.795604395604396
ma5_down_vol_1_5x,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1262318.4550137988,26.23184550137987,-3.642678427028734,-31.333202218721112,201,170,31,tw_bear_2020,new_above_all_ma_and_score>=50%,170,42.35294117647059,2.1270629468871727,-0.9246343048054717,36.85294117647059
penalty_adjusted_score_lt_20pct,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1259567.6544958355,25.956765449583564,-3.8526569542693734,-28.95010249882285,970,952,18,tw_bear_2020,new_above_all_ma_and_score>=50%,952,34.2436974789916,0.2586728867552974,-1.0768386045852285,5.765756302521009
break_prev3_low,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1251618.6073312126,25.161860733121255,-4.459436401086469,-29.32843783870197,513,489,24,tw_bear_2020,new_above_all_ma_and_score>=50%,489,32.10633946830266,0.29263168175187027,-1.8148881695996377,12.797546012269938
