symbol,market,date,gap_type,gap_size,vol_ratio,vol_confirmed,makes_new_high,fast_filled,unfilled_10d,excess10,excess20,excess60,post20,post60
1308.TW,tw,2020-09-17,up,0.0155,4.45,True,True,False,False,-0.1301,-0.1366,-0.1867,0.072,0.0275
1308.TW,tw,2021-05-31,up,0.0114,1.27,False,False,False,True,-0.0018,0.0355,0.1367,0.0959,0.1936
1308.TW,tw,2021-07-01,up,0.0686,1.64,True,True,False,True,-0.037,-0.0557,0.3373,-0.0051,0.3277
1308.TW,tw,2021-09-27,up,0.0129,2.39,True,True,False,False,-0.0229,-0.178,-0.2706,-0.1773,-0.3426
1308.TW,tw,2022-04-27,down,0.0222,1.42,False,False,False,False,-0.1843,-0.149,-0.1168,0.0547,0.0259
1308.TW,tw,2022-05-06,down,0.0812,6.63,True,False,False,False,-0.0957,-0.1169,-0.0481,0.0101,0.0547
1308.TW,tw,2022-05-09,down,0.029,2.91,True,False,False,False,-0.0265,-0.0246,0.0348,0.032,0.0563
1308.TW,tw,2022-05-10,down,0.0102,1.75,True,False,False,False,-0.0132,-0.0232,0.017,0.0254,0.0655
1308.TW,tw,2022-08-29,down,0.0231,1.22,False,False,False,False,0.0788,0.1202,-0.0067,-0.0103,-0.0345
1308.TW,tw,2022-09-08,up,0.0132,1.73,True,False,False,True,0.0911,0.0766,0.0007,-0.0549,-0.0859
1308.TW,tw,2022-10-11,down,0.0289,1.95,True,False,False,False,-0.0036,0.0186,0.0149,-0.0925,-0.0705
1308.TW,tw,2024-08-02,down,0.0105,0.62,False,False,False,False,-0.085,-0.0597,-0.1717,-0.0008,-0.0966
1308.TW,tw,2024-08-05,down,0.0298,1.25,False,False,False,False,-0.097,-0.0823,-0.2154,0.0408,-0.0637
1308.TW,tw,2024-09-04,down,0.0174,2.47,True,False,False,False,0.0486,0.008,-0.1688,-0.1755,-0.2963
1308.TW,tw,2025-03-31,down,0.011,1.71,True,False,False,False,0.049,-0.0284,-0.2417,-0.1734,-0.3816
1308.TW,tw,2025-04-07,down,0.0743,0.83,False,False,False,False,0.0188,-0.0314,-0.2928,-0.1557,-0.3617
1308.TW,tw,2025-04-08,down,0.012,2.03,True,False,False,False,0.0587,-0.0057,-0.2873,-0.193,-0.3595
1308.TW,tw,2025-04-14,up,0.0201,1.2,False,False,False,True,-0.0249,-0.1233,-0.3283,-0.1368,-0.2604
1308.TW,tw,2025-08-04,down,0.0283,1.41,False,False,False,False,0.0313,0.0018,-0.211,-0.1448,-0.1105
1308.TW,tw,2026-03-10,down,0.0233,2.46,True,False,False,False,0.2237,0.1055,-0.4331,-0.2739,-0.6923
1319.TW,tw,2018-02-21,up,0.0116,0.71,False,False,False,True,-0.0286,-0.0195,-0.0379,0.0413,-0.0354
1319.TW,tw,2018-03-23,down,0.0132,1.26,False,False,False,False,0.0487,0.0611,-0.0453,-0.0263,-0.1938
1319.TW,tw,2018-10-16,down,0.02,1.88,True,False,False,False,-0.0892,-0.0831,0.0439,0.193,0.1639
1319.TW,tw,2018-10-25,down,0.0171,1.08,False,False,False,False,0.0181,0.2011,0.1743,0.1344,0.1108
1319.TW,tw,2019-01-04,down,0.0109,0.77,False,False,False,False,0.0461,0.004,-0.01,-0.0824,-0.0372
1319.TW,tw,2019-06-18,up,0.0143,2.66,True,False,False,True,0.0224,0.0389,0.0923,0.0159,0.0247
1319.TW,tw,2020-01-30,down,0.0423,2.71,True,False,False,False,-0.0434,-0.0603,-0.0974,-0.0724,-0.043
1319.TW,tw,2020-03-13,down,0.0467,3.22,True,False,False,False,-0.0178,0.0291,0.068,0.0404,0.0961
1319.TW,tw,2020-03-19,down,0.0103,2.47,True,False,False,False,0.0988,0.057,0.1788,-0.015,0.025
1319.TW,tw,2020-03-25,up,0.0378,1.13,False,False,False,True,0.0667,0.0378,0.1272,-0.021,-0.0493
1319.TW,tw,2021-05-17,down,0.0138,0.85,False,False,False,False,-0.0161,0.0104,0.0608,0.0874,0.067
1319.TW,tw,2022-05-17,up,0.0149,5.8,True,True,False,True,0.1122,0.2788,0.4817,0.405,0.3855
1319.TW,tw,2022-07-15,up,0.0232,2.5,True,False,True,False,-0.0574,-0.1358,0.0247,0.0362,0.0743
1319.TW,tw,2022-09-08,up,0.0152,1.73,True,True,False,False,-0.0089,-0.0696,-0.1501,-0.0337,-0.2194
