symbol,market,date,gap_type,gap_size,vol_ratio,vol_confirmed,makes_new_high,fast_filled,unfilled_10d,excess10,excess20,excess60,post20,post60
2455.TW,tw,2020-04-07,up,0.0206,1.16,False,False,False,True,-0.0466,-0.052,-0.0667,-0.0313,-0.0527
2455.TW,tw,2020-12-02,up,0.0174,4.41,True,True,False,True,0.0263,0.0657,-0.158,-0.0161,-0.0931
2455.TW,tw,2020-12-08,up,0.0149,3.14,True,True,False,True,0.0171,0.0646,-0.115,-0.0954,-0.1065
2455.TW,tw,2021-01-28,down,0.0131,0.88,False,False,False,False,-0.019,-0.0811,-0.0484,0.0199,-0.0784
2455.TW,tw,2021-05-11,down,0.0182,1.14,False,False,False,False,0.0312,0.1149,0.3254,0.1956,0.1466
2455.TW,tw,2021-09-29,down,0.0125,0.56,False,False,False,False,0.0495,0.2223,0.1733,0.0552,-0.021
2455.TW,tw,2022-02-14,down,0.012,2.52,True,False,False,False,0.0073,0.0391,-0.0846,0.0514,-0.121
2455.TW,tw,2022-03-17,up,0.013,1.37,False,False,False,False,-0.0506,-0.1916,-0.0999,-0.1404,-0.1635
2455.TW,tw,2022-04-27,down,0.0118,1.77,True,False,False,False,0.0554,0.0097,-0.0462,0.023,-0.2162
2455.TW,tw,2022-05-19,down,0.012,0.66,False,False,False,False,0.0573,0.0121,-0.1792,-0.1529,-0.1628
2455.TW,tw,2022-06-13,down,0.0135,0.57,False,False,False,False,-0.0716,-0.1034,-0.1739,-0.0327,-0.1378
2455.TW,tw,2022-07-27,down,0.0385,3.41,True,False,False,False,-0.0538,-0.0008,-0.0239,0.0498,0.0719
2455.TW,tw,2022-08-29,down,0.0315,1.18,False,False,False,False,-0.0195,-0.1187,0.0522,-0.0402,0.0645
2455.TW,tw,2022-10-11,down,0.0275,0.77,False,False,False,False,0.0361,0.1038,0.1639,0.0552,0.2946
2455.TW,tw,2022-12-16,down,0.0127,0.93,False,False,False,False,0.038,0.1149,0.2358,0.0797,0.2637
2455.TW,tw,2023-01-30,up,0.0186,2.02,True,True,False,False,-0.0358,-0.0437,0.1254,0.019,0.1339
2455.TW,tw,2023-07-24,up,0.0161,3.6,True,True,True,False,0.0178,0.0255,0.141,0.1833,0.1445
2455.TW,tw,2023-08-30,up,0.0446,4.36,True,True,False,True,-0.0025,0.0113,0.086,0.0882,0.0866
2455.TW,tw,2024-01-03,down,0.016,3.55,True,False,False,False,-0.1076,-0.0832,-0.0923,0.2229,-0.0211
2455.TW,tw,2024-02-15,up,0.0109,2.99,True,True,False,True,0.1941,0.1021,-0.1945,-0.1477,-0.3527
2455.TW,tw,2024-05-30,down,0.0135,0.69,False,False,False,False,0.0286,0.0502,-0.1412,0.0563,-0.106
2455.TW,tw,2024-07-26,down,0.0123,0.76,False,False,False,False,-0.1522,-0.1618,-0.1134,0.0858,-0.0748
2455.TW,tw,2024-08-05,down,0.0571,0.54,False,False,False,False,-0.0299,0.0513,-0.0884,0.0267,-0.0151
2455.TW,tw,2024-09-04,down,0.0276,2.48,True,False,False,False,-0.0005,0.0337,0.105,0.0586,0.1017
2455.TW,tw,2024-09-25,up,0.0155,3.82,True,True,False,False,-0.0884,-0.2221,-0.106,-0.0992,-0.0066
2455.TW,tw,2025-03-11,down,0.0186,1.47,False,False,False,False,0.0167,-0.1593,-0.1617,-0.1768,-0.0998
2455.TW,tw,2025-03-31,down,0.0202,1.44,False,False,False,False,-0.1072,-0.0993,0.0585,0.0558,0.207
2455.TW,tw,2025-04-07,down,0.0837,0.04,False,False,False,False,-0.1291,-0.1594,0.0408,0.0122,0.2523
2455.TW,tw,2025-04-08,down,0.1,0.21,False,False,False,False,-0.07,-0.0678,0.1395,0.0403,0.2747
2455.TW,tw,2025-04-09,down,0.0759,1.63,True,False,False,False,-0.0059,-0.024,0.217,0.0091,0.2321
2455.TW,tw,2025-04-10,up,0.0185,1.33,False,False,True,False,-0.0101,0.019,0.1771,0.0193,0.2456
2455.TW,tw,2025-04-14,up,0.0511,2.14,True,False,False,False,-0.0046,0.0002,0.1832,-0.0266,0.1587
2455.TW,tw,2025-08-27,up,0.0129,1.37,False,True,True,False,-0.0526,-0.0987,-0.2621,-0.1326,-0.2507
2455.TW,tw,2025-10-13,down,0.0405,1.46,False,False,False,False,-0.0583,-0.0311,-0.1623,-0.0231,0.0419
2455.TW,tw,2025-11-21,down,0.0141,1.16,False,False,False,False,-0.0336,-0.048,0.2421,-0.0377,0.5125
2455.TW,tw,2026-03-02,up,0.0161,0.73,False,True,False,False,0.0173,0.2246,0.3873,0.0878,0.0766
2455.TW,tw,2026-03-04,down,0.0168,0.36,False,False,False,False,-0.0247,0.1653,0.4389,0.2832,0.2692
2455.TW,tw,2026-03-09,down,0.0508,0.19,False,False,False,False,0.1242,0.4098,0.6147,0.4826,0.433
2455.TW,tw,2026-03-11,up,0.0293,0.24,False,False,False,True,0.2287,0.3173,0.3321,0.1179,0.0486
2455.TW,tw,2026-03-25,up,0.0945,0.43,False,True,False,True,0.0622,0.1179,0.0486,0.004,
2458.TW,tw,2018-03-23,down,0.0166,0.86,False,False,False,False,-0.008,0.0079,0.1174,0.0584,0.157
2458.TW,tw,2018-04-18,up,0.018,5.06,True,False,False,False,-0.0022,0.0049,0.117,0.0818,0.0579
2458.TW,tw,2018-06-25,up,0.0131,5.85,True,True,False,False,-0.0837,-0.094,-0.0356,-0.023,0.0036
2458.TW,tw,2018-10-22,down,0.1438,2.38,True,False,False,False,0.2281,0.2993,0.5432,0.1408,0.3616
2458.TW,tw,2018-10-31,up,0.0402,2.26,True,False,False,True,0.1469,0.2171,0.4812,0.1699,0.3675
2458.TW,tw,2018-12-04,up,0.0149,2.84,True,True,True,False,0.0522,0.0745,0.1436,-0.0033,0.0823
2458.TW,tw,2018-12-19,up,0.0117,2.84,True,True,False,False,0.0132,0.0336,0.0631,0.1105,0.043
2458.TW,tw,2018-12-24,down,0.0323,0.88,False,False,False,False,-0.0027,0.0669,0.1581,0.175,0.0472
2458.TW,tw,2019-05-09,down,0.015,4.09,True,False,False,False,0.0123,0.0389,0.0954,-0.0319,0.1656
2458.TW,tw,2019-08-22,up,0.0207,4.93,True,True,False,True,-0.0579,-0.0833,-0.1172,0.025,-0.071
2458.TW,tw,2020-01-30,down,0.0459,1.83,True,False,False,False,-0.0283,-0.0266,0.1855,0.0043,0.1906
2458.TW,tw,2020-02-03,down,0.0224,1.17,False,False,False,False,0.0379,0.0612,0.2167,0.0256,0.1301
2458.TW,tw,2020-02-12,up,0.0161,1.97,True,False,False,False,0.0033,0.0118,0.1743,0.0793,0.1481
2458.TW,tw,2020-03-13,down,0.0213,1.97,True,False,False,False,0.1231,0.1757,0.563,0.0934,0.3794
2458.TW,tw,2020-04-23,up,0.0181,2.55,True,True,True,False,-0.0135,-0.0774,0.3139,0.1165,0.3829
2458.TW,tw,2020-12-04,up,0.0185,3.56,True,True,True,False,-0.0185,-0.0529,0.0964,0.0629,0.1975
2458.TW,tw,2021-01-07,up,0.0134,4.06,True,True,False,True,-0.0563,-0.043,0.1805,0.0672,0.2317
2458.TW,tw,2021-02-26,down,0.0113,1.08,False,False,False,False,0.0353,0.1125,0.2,0.1192,0.1485
2458.TW,tw,2021-04-26,up,0.0233,1.5,False,True,True,False,-0.113,-0.0365,-0.1109,0.107,-0.0832
2458.TW,tw,2021-08-18,down,0.0125,1.02,False,False,False,False,-0.0294,-0.0529,0.0311,-0.0372,0.0451
2458.TW,tw,2022-05-06,down,0.0294,1.93,True,False,False,False,0.009,-0.0059,-0.1028,-0.0225,-0.1837
2458.TW,tw,2022-08-03,down,0.014,2.24,True,False,False,False,-0.0459,-0.0643,-0.0633,-0.0534,-0.0467
2458.TW,tw,2022-08-29,down,0.01,1.6,True,False,False,False,-0.0718,-0.0805,-0.098,-0.0096,-0.02
2458.TW,tw,2022-09-05,down,0.0149,2.41,True,False,False,False,-0.0222,0.0106,-0.0357,0.0497,0.0094
2458.TW,tw,2022-10-11,down,0.0119,0.79,False,False,False,False,0.046,0.0539,-0.0069,-0.101,-0.099
2458.TW,tw,2022-11-04,down,0.028,5.24,True,False,False,False,-0.0413,-0.0294,0.0702,0.0301,0.1842
2458.TW,tw,2024-08-05,down,0.0254,1.37,False,False,False,False,-0.0319,0.0014,-0.0546,0.0649,0.0206
2458.TW,tw,2024-09-04,down,0.0278,1.49,False,False,False,False,0.0103,-0.0101,0.0188,-0.0102,-0.002
2458.TW,tw,2025-04-07,down,0.0879,0.14,False,False,False,False,-0.0856,-0.0715,-0.2326,0.0355,-0.1966
2458.TW,tw,2025-04-08,down,0.0683,1.65,True,False,False,False,-0.031,-0.0094,-0.1762,0.0389,-0.1698
2458.TW,tw,2025-04-09,down,0.0711,1.96,True,False,False,False,0.0339,0.0559,-0.1151,0.0437,-0.1779
2458.TW,tw,2025-04-10,up,0.0191,4.14,True,False,True,False,0.0604,0.0523,-0.1051,0.0342,-0.2076
2458.TW,tw,2025-04-14,up,0.0273,1.49,False,False,False,True,0.0663,0.0341,-0.1456,0.0131,-0.2098
2458.TW,tw,2025-04-25,up,0.021,0.93,False,False,False,True,-0.0175,0.0113,-0.2285,-0.0831,-0.1819
2458.TW,tw,2025-09-02,up,0.0738,2.16,True,True,False,True,-0.0761,-0.1201,-0.1699,-0.1188,-0.1436
2458.TW,tw,2025-09-03,up,0.0191,8.69,True,True,True,False,-0.0958,-0.1683,-0.2012,-0.1376,-0.1685
2458.TW,tw,2025-10-03,up,0.031,2.75,True,True,False,False,-0.1039,-0.1619,-0.2509,0.0266,-0.2439
2458.TW,tw,2025-10-13,down,0.0151,0.52,False,False,False,False,-0.0501,-0.0698,-0.238,0.0474,-0.2275
2467.TW,tw,2018-02-09,down,0.0117,0.75,False,False,False,False,0.0386,0.0118,0.0279,0.0024,0.1593
2467.TW,tw,2018-04-10,up,0.0222,6.18,True,True,False,False,-0.0197,-0.027,-0.0351,-0.0113,0.0319
2467.TW,tw,2018-06-08,down,0.0261,2.11,True,False,False,False,0.0026,-0.0453,-0.0269,-0.0501,-0.0833
2467.TW,tw,2018-07-10,up,0.0136,0.63,False,False,False,True,0.0139,0.0442,-0.0454,0.0182,-0.0037
2467.TW,tw,2018-07-24,up,0.0204,4.83,True,True,False,True,0.0288,0.0182,-0.0037,-0.0526,-0.0363
2467.TW,tw,2018-09-07,down,0.0131,2.47,True,False,False,False,-0.0091,0.0394,0.1021,0.0641,0.1466
2467.TW,tw,2018-10-11,down,0.0156,4.6,True,False,False,False,0.0142,0.0227,0.1129,0.0593,0.1499
2467.TW,tw,2018-10-25,down,0.0143,0.83,False,False,False,False,0.0079,0.0593,0.1499,0.0535,0.1301
2467.TW,tw,2018-10-31,up,0.0102,2.28,True,False,False,False,0.0187,0.0446,0.1176,0.0525,0.0966
2467.TW,tw,2018-12-05,down,0.0115,0.73,False,False,False,False,0.0137,0.0503,0.0625,0.0669,0.0669
2467.TW,tw,2019-01-09,up,0.0154,3.42,True,False,False,True,0.0323,0.0157,0.1624,-0.0269,0.1064
2467.TW,tw,2019-01-17,up,0.0241,7.16,True,True,False,True,-0.0255,-0.0395,0.119,0.0175,0.136
2467.TW,tw,2019-04-08,up,0.0156,4.77,True,True,True,False,-0.0193,-0.0558,-0.0207,-0.0141,-0.0748
2467.TW,tw,2019-05-09,up,0.0119,3.24,True,True,True,False,-0.0624,-0.0702,-0.1394,-0.0186,-0.0949
2467.TW,tw,2019-09-10,down,0.0211,0.88,False,False,False,False,-0.0193,-0.1428,-0.1941,-0.1105,-0.1589
2467.TW,tw,2020-01-30,down,0.0275,4.57,True,False,False,False,-0.0398,0.0004,0.2407,0.2397,0.3315
2467.TW,tw,2020-02-03,down,0.0106,2.53,True,False,False,False,0.0009,0.1391,0.286,0.2484,0.2843
2467.TW,tw,2020-03-02,up,0.0423,5.85,True,True,False,True,0.121,0.1317,0.2806,0.0167,0.0198
2467.TW,tw,2020-03-19,down,0.0161,2.0,True,False,False,False,0.0002,-0.0112,0.0298,0.0359,0.0459
2467.TW,tw,2020-05-22,up,0.0222,6.49,True,True,False,True,0.0186,-0.0744,-0.2783,-0.1188,-0.2668
2467.TW,tw,2020-06-17,up,0.0199,1.26,False,False,False,False,-0.0434,-0.0782,-0.231,-0.1506,-0.1512
2467.TW,tw,2020-07-01,up,0.0139,2.68,True,False,False,False,-0.0929,-0.1928,-0.1869,-0.0978,-0.1076
2467.TW,tw,2020-09-04,down,0.0109,1.43,False,False,False,False,-0.003,0.0109,0.1426,0.1014,0.2098
2467.TW,tw,2020-09-16,up,0.0183,4.33,True,True,False,False,0.019,0.0817,0.2348,0.1284,0.1429
2467.TW,tw,2020-10-08,up,0.0124,2.02,True,False,False,True,0.0834,0.1146,0.1309,0.0714,0.0671
2467.TW,tw,2021-01-07,up,0.0613,6.22,True,True,False,False,-0.1807,-0.1467,0.2027,0.1281,0.3207
2467.TW,tw,2021-04-07,up,0.0224,1.48,False,True,False,True,0.1034,0.0295,0.109,-0.0854,0.0214
2467.TW,tw,2021-04-26,up,0.0262,1.48,False,False,True,False,-0.0808,-0.0421,0.0511,-0.0108,0.0726
2467.TW,tw,2021-05-17,down,0.02,0.8,False,False,False,False,0.084,0.0767,0.0918,0.0542,-0.0243
2467.TW,tw,2022-05-06,down,0.0113,0.6,False,False,False,False,0.0101,0.0067,0.1815,0.0451,0.1988
2467.TW,tw,2023-02-16,up,0.036,7.11,True,True,False,True,0.0567,0.0799,0.0412,-0.0225,0.0247
2467.TW,tw,2023-05-11,down,0.0148,3.42,True,False,False,False,0.0592,0.0647,0.0066,-0.0149,-0.0858
2467.TW,tw,2023-06-09,up,0.0139,3.5,True,True,True,False,-0.0905,-0.1073,-0.1217,-0.0079,-0.0239
2467.TW,tw,2023-11-21,up,0.0159,1.98,True,True,False,True,0.2496,0.1975,1.531,0.0225,0.7209
2467.TW,tw,2024-01-04,down,0.0152,1.25,False,False,False,False,0.0483,0.2665,0.8218,0.9067,0.7116
2467.TW,tw,2024-02-15,up,0.0108,1.09,False,True,False,True,0.2506,0.0229,0.1636,-0.1091,-0.0639
2467.TW,tw,2024-02-16,up,0.0272,0.82,False,True,False,True,0.1343,0.0036,0.1498,-0.0555,-0.061
2467.TW,tw,2024-02-23,up,0.0927,0.29,False,True,False,False,-0.1666,-0.1324,-0.1769,0.0118,-0.0422
2467.TW,tw,2024-05-15,up,0.0163,1.51,True,False,False,True,0.0389,-0.0405,0.237,0.0169,0.575
2467.TW,tw,2024-07-03,up,0.0293,3.74,True,True,False,True,-0.0302,-0.0598,0.0436,-0.005,0.1171
2467.TW,tw,2024-07-26,down,0.0116,0.94,False,False,False,False,-0.1409,0.0745,-0.0956,0.2381,0.1669
2467.TW,tw,2024-08-05,down,0.0503,0.44,False,False,False,False,0.1601,0.2762,0.1876,0.0454,-0.0864
2467.TW,tw,2024-08-19,up,0.0201,2.73,True,False,False,False,0.09,0.0454,-0.0864,-0.0761,-0.147
2467.TW,tw,2024-09-04,down,0.0112,0.63,False,False,False,False,0.0264,0.013,-0.1271,-0.1547,-0.147
2467.TW,tw,2025-03-03,down,0.0139,1.63,True,False,False,False,0.029,-0.0716,-0.0385,-0.116,-0.0888
2467.TW,tw,2025-03-11,down,0.0119,1.09,False,False,False,False,-0.0054,-0.154,-0.0958,-0.0846,-0.0491
2467.TW,tw,2025-04-07,down,0.0724,0.55,False,False,False,False,-0.083,-0.0349,-0.0575,0.0382,-0.0335
2467.TW,tw,2025-04-08,down,0.0967,0.51,False,False,False,False,-0.0176,0.0325,0.0557,0.0655,0.0171
2467.TW,tw,2025-04-09,down,0.0535,2.33,True,False,False,False,0.1053,0.1025,0.1157,0.1283,-0.0917
2467.TW,tw,2025-04-23,up,0.0119,1.68,True,False,False,True,-0.0074,0.1283,-0.0917,-0.003,-0.105
2467.TW,tw,2025-07-03,up,0.0131,1.66,True,False,True,False,-0.047,-0.1349,0.0146,0.0024,-0.0275
2467.TW,tw,2025-08-27,up,0.0298,2.95,True,True,False,True,0.0152,-0.1266,-0.1832,-0.256,-0.0986
2467.TW,tw,2025-09-08,up,0.0106,0.99,False,False,False,False,-0.1056,-0.2106,-0.1564,-0.1857,0.0515
2467.TW,tw,2025-10-16,up,0.0134,1.18,False,False,True,False,-0.1011,-0.0815,0.2207,0.1953,0.1949
2467.TW,tw,2025-11-25,up,0.0278,4.47,True,True,False,True,0.112,0.1595,0.6871,0.0578,0.4511
2467.TW,tw,2026-02-03,up,0.0143,2.59,True,False,False,True,0.0921,0.3229,1.0399,0.3671,0.783
2467.TW,tw,2026-03-03,up,0.034,2.13,True,True,True,False,-0.003,0.1251,0.2569,0.2589,0.1361
2467.TW,tw,2026-03-09,down,0.061,0.12,False,False,False,False,-0.0046,0.1923,0.3268,0.5164,0.2558
2480.TW,tw,2018-04-02,up,0.0191,1.23,False,True,False,True,0.0671,0.1481,0.1323,0.0056,0.0609
2480.TW,tw,2018-04-09,up,0.0213,7.47,True,True,False,True,0.1118,0.0894,0.0749,-0.0921,-0.0339
2480.TW,tw,2018-08-13,down,0.0156,2.17,True,False,False,False,-0.029,-0.0691,-0.0071,-0.0707,0.0552
2480.TW,tw,2018-10-11,down,0.0106,3.5,True,False,False,False,0.0054,-0.001,0.132,0.0474,0.1205
2480.TW,tw,2019-01-02,up,0.0144,2.78,True,True,False,True,0.018,0.0107,0.2911,0.0285,0.2648
2480.TW,tw,2019-03-12,up,0.012,5.05,True,True,False,True,0.0651,0.0024,-0.0328,-0.0639,-0.0761
2480.TW,tw,2019-08-15,down,0.0113,1.69,True,False,False,False,-0.0357,-0.0668,-0.1492,-0.0237,-0.1126
2480.TW,tw,2020-01-30,down,0.0233,2.47,True,False,False,False,-0.0398,0.1371,0.2036,0.1812,0.2722
2480.TW,tw,2020-02-27,up,0.0225,7.16,True,True,False,False,0.0187,-0.0107,0.1721,0.0183,0.2049
2480.TW,tw,2020-03-13,down,0.0121,1.59,True,False,False,False,-0.0305,0.0183,0.2049,0.0922,0.209
2480.TW,tw,2020-03-19,down,0.0171,1.74,True,False,False,False,0.007,0.0179,0.2125,0.0518,0.1459
2480.TW,tw,2020-04-07,up,0.0146,0.57,False,False,False,True,0.016,0.0593,0.116,0.068,-0.0279
2480.TW,tw,2022-01-11,up,0.0107,8.13,True,True,False,True,0.0507,0.0693,0.2511,0.1592,0.2394
2480.TW,tw,2022-03-01,up,0.0211,1.8,True,True,False,True,0.1177,0.0784,0.1188,-0.0529,0.0296
2480.TW,tw,2023-02-24,up,0.0133,3.67,True,True,False,True,0.0345,0.0187,0.1978,0.0203,0.1639
2480.TW,tw,2023-04-28,up,0.0152,1.97,True,True,False,True,0.0707,0.0829,0.1291,0.0099,0.0218
2480.TW,tw,2023-05-02,up,0.0196,7.28,True,True,False,True,-0.0166,-0.0007,0.0972,0.0039,0.0153
2480.TW,tw,2023-05-18,up,0.013,4.07,True,True,True,False,-0.0246,-0.0225,-0.0357,-0.0443,-0.0262
2480.TW,tw,2024-08-05,down,0.0128,2.0,True,False,False,False,-0.1261,-0.0866,-0.0839,0.0565,0.0354
2480.TW,tw,2025-04-07,down,0.0975,1.23,False,False,False,False,0.0427,0.1325,0.1026,0.1474,0.0683
2480.TW,tw,2025-04-10,up,0.012,1.3,False,False,True,False,0.0657,0.1423,0.0339,0.0751,-0.0261
2480.TW,tw,2025-07-11,up,0.022,3.97,True,True,False,True,-0.0891,-0.0254,-0.2175,0.0928,-0.2
2480.TW,tw,2026-02-11,up,0.0108,1.54,True,False,False,False,0.0188,0.0103,-0.2172,-0.0725,-0.291
2481.TW,tw,2018-02-05,down,0.011,0.36,False,False,False,False,0.0485,0.1173,0.6742,0.258,0.552
2481.TW,tw,2018-02-09,down,0.0272,0.66,False,False,False,False,0.146,0.1879,0.5507,0.4781,0.7005
2481.TW,tw,2018-03-27,up,0.0201,2.43,True,True,False,True,0.1875,0.0989,0.2738,-0.0147,-0.0397
2481.TW,tw,2018-05-15,up,0.011,1.69,True,True,False,False,-0.0346,0.0911,-0.3093,0.0247,-0.3575
2481.TW,tw,2018-10-11,down,0.0444,1.04,False,False,False,False,-0.0752,0.0507,0.2094,0.1674,0.3747
2481.TW,tw,2018-10-19,down,0.0103,1.02,False,False,False,False,0.1265,0.0877,0.2095,0.2261,0.1349
2481.TW,tw,2018-10-25,down,0.0504,1.53,True,False,False,False,0.1436,0.1674,0.3747,0.1652,0.2846
2481.TW,tw,2018-11-29,up,0.0115,1.87,True,True,False,True,0.022,-0.0795,-0.0433,-0.0715,-0.1295
2481.TW,tw,2018-12-12,up,0.0201,0.91,False,False,True,False,-0.1252,-0.1019,-0.1433,0.101,-0.0318
2481.TW,tw,2018-12-14,down,0.0156,0.8,False,False,False,False,-0.0832,-0.0274,-0.1271,0.1182,0.0089
2481.TW,tw,2018-12-25,down,0.0115,0.38,False,False,False,False,0.0346,0.0742,-0.0423,0.0727,-0.0649
2481.TW,tw,2019-01-04,down,0.0138,0.93,False,False,False,False,0.1362,0.1999,0.0275,-0.041,-0.2083
2481.TW,tw,2019-03-25,down,0.0204,0.95,False,False,False,False,0.051,0.0216,-0.0556,-0.1074,-0.0401
2481.TW,tw,2019-09-16,up,0.0241,0.0,False,False,False,False,-0.0878,-0.1316,-0.2985,-0.0552,-0.1534
2481.TW,tw,2020-01-30,down,0.0769,1.2,False,False,False,False,-0.0398,-0.0075,0.0548,-0.0676,0.1058
2481.TW,tw,2020-02-03,down,0.0234,1.23,False,False,False,False,0.0806,0.1357,0.1457,-0.1597,0.029
2481.TW,tw,2020-03-13,down,0.0741,2.58,True,False,False,False,-0.0414,0.056,0.3947,0.2677,0.4518
2481.TW,tw,2020-03-19,down,0.0333,2.29,True,False,False,False,0.2665,0.395,0.7725,0.2509,0.3768
2481.TW,tw,2020-03-24,up,0.0354,0.69,False,False,False,True,0.1375,0.3592,0.5082,0.1806,0.2651
2481.TW,tw,2020-03-25,up,0.0723,1.2,False,False,False,True,0.075,0.2459,0.4084,0.1923,0.258
2481.TW,tw,2020-03-31,up,0.0217,2.29,True,False,False,True,0.0617,0.1592,0.2972,0.0436,0.169
2481.TW,tw,2020-06-09,down,0.012,0.95,False,False,False,False,-0.0036,-0.0158,0.2107,-0.0602,0.2219
2481.TW,tw,2020-08-19,up,0.0493,2.72,True,True,False,True,0.0432,-0.0343,0.0401,-0.0447,0.0737
2481.TW,tw,2020-09-24,down,0.0108,0.77,False,False,False,False,0.0188,0.039,0.0604,-0.0065,0.2078
2481.TW,tw,2021-04-07,up,0.0211,2.48,True,True,False,False,0.0338,-0.1432,0.4662,-0.235,0.6475
2481.TW,tw,2021-04-20,up,0.0175,3.45,True,False,False,False,-0.1194,-0.1772,0.6624,0.0249,1.0941
2481.TW,tw,2021-05-11,down,0.0294,1.07,False,False,False,False,0.0182,0.1516,1.3772,0.5372,1.1117
2481.TW,tw,2022-03-10,up,0.0153,0.57,False,False,False,False,-0.0292,-0.0166,-0.1326,-0.1319,-0.185
2481.TW,tw,2022-04-01,down,0.0147,0.95,False,False,False,False,-0.1619,-0.1511,-0.2187,0.0552,-0.1001
2481.TW,tw,2022-04-25,down,0.0122,0.68,False,False,False,False,-0.0,0.0445,-0.0672,0.0315,-0.0677
2481.TW,tw,2022-05-10,down,0.0143,1.01,False,False,False,False,0.0464,0.0315,-0.0677,-0.1214,-0.0543
2481.TW,tw,2022-08-29,down,0.0199,0.81,False,False,False,False,-0.0143,-0.0512,-0.1251,-0.0698,-0.0611
2481.TW,tw,2022-09-26,down,0.0113,0.95,False,False,False,False,0.0007,0.0188,0.0324,0.0483,0.006
2481.TW,tw,2022-10-11,down,0.0245,0.97,False,False,False,False,0.0194,0.0483,0.006,-0.0779,-0.0465
2481.TW,tw,2022-12-01,up,0.0174,4.1,True,True,False,False,0.0261,-0.0426,0.0358,-0.0751,-0.0171
2481.TW,tw,2023-01-30,up,0.0143,3.43,True,True,False,True,0.018,0.0265,0.0509,0.0637,0.0073
2481.TW,tw,2023-03-20,up,0.0159,2.6,True,False,False,True,-0.0147,-0.0321,-0.1435,-0.0447,-0.1133
2481.TW,tw,2023-07-11,up,0.0138,9.48,True,True,False,True,-0.0435,-0.0733,-0.1179,-0.1219,-0.125
2481.TW,tw,2024-04-24,up,0.0149,0.69,False,False,False,True,-0.0319,-0.0938,-0.1126,-0.0401,-0.1912
2481.TW,tw,2024-07-03,up,0.0107,7.51,True,True,False,True,0.0207,-0.0317,-0.0126,-0.1112,-0.088
2481.TW,tw,2024-07-26,down,0.0191,0.37,False,False,False,False,-0.0966,-0.0315,-0.0135,0.0891,0.0319
2481.TW,tw,2024-08-05,down,0.0259,0.49,False,False,False,False,-0.056,-0.0075,-0.092,0.0697,-0.0775
2481.TW,tw,2025-03-11,down,0.0152,0.75,False,False,False,False,0.1114,-0.0599,-0.0132,-0.116,-0.1618
2481.TW,tw,2025-03-31,down,0.0149,1.14,False,False,False,False,-0.0692,-0.1034,-0.1122,-0.0049,-0.1486
2481.TW,tw,2025-04-07,down,0.0766,0.11,False,False,False,False,-0.1083,-0.175,-0.2013,0.0234,-0.1459
2481.TW,tw,2025-04-08,down,0.0703,0.74,False,False,False,False,-0.0409,-0.1209,-0.1288,0.0447,-0.1209
2481.TW,tw,2025-04-09,down,0.0676,0.97,False,False,False,False,0.0207,-0.0654,-0.091,0.1072,-0.1496
2481.TW,tw,2025-04-10,up,0.0312,0.48,False,False,True,False,0.0332,-0.0397,-0.0906,0.0549,-0.1646
2481.TW,tw,2025-04-11,down,0.0206,1.57,True,False,False,False,0.1046,0.0754,-0.0124,0.0421,-0.1713
2481.TW,tw,2025-06-24,up,0.0131,0.57,False,False,False,False,-0.0887,-0.1324,0.2886,0.007,0.3477
2481.TW,tw,2025-10-14,up,0.0149,2.54,True,False,False,True,0.0428,0.0314,-0.1209,0.0697,-0.086
2481.TW,tw,2025-10-21,up,0.0468,2.1,True,True,False,False,-0.211,-0.1305,-0.2122,0.1279,-0.0039
2481.TW,tw,2026-03-09,down,0.0281,0.61,False,False,False,False,0.1063,0.1603,0.5272,-0.0173,0.3259
2481.TW,tw,2026-03-23,down,0.0127,0.46,False,False,False,False,0.042,-0.0173,0.3259,-0.2003,
2481.TW,tw,2026-03-24,up,0.0107,1.33,False,False,False,False,-0.0288,-0.1119,0.3518,-0.2173,
2515.TW,tw,2018-02-05,down,0.0116,0.9,False,False,False,False,0.0123,0.0009,0.0644,0.0504,0.0778
2515.TW,tw,2018-02-06,down,0.016,1.98,True,False,False,False,0.0342,0.0169,0.1074,0.0608,0.1002
2515.TW,tw,2018-10-11,down,0.0187,1.65,True,False,False,False,-0.0436,-0.0458,0.0257,0.0649,0.0559
2515.TW,tw,2018-10-25,down,0.0169,1.19,False,False,False,False,-0.0003,0.0649,0.0559,0.1729,0.0551
2515.TW,tw,2018-12-13,down,0.0443,3.8,True,False,False,False,-0.0408,-0.0415,-0.0031,-0.0084,-0.0068
2515.TW,tw,2019-02-19,up,0.0147,4.02,True,True,False,True,0.0229,0.0174,0.0419,-0.0681,0.0362
2515.TW,tw,2019-04-01,down,0.0236,3.07,True,False,False,False,-0.0181,-0.0212,-0.0027,0.0805,-0.0051
2515.TW,tw,2020-01-30,down,0.0298,1.76,True,False,False,False,-0.0287,-0.014,0.0281,-0.0477,0.0301
2515.TW,tw,2020-03-13,down,0.0479,4.48,True,False,False,False,-0.0069,0.1314,0.0655,0.1393,0.0737
2515.TW,tw,2020-03-19,down,0.036,2.35,True,False,False,False,0.068,0.1432,0.1071,0.077,0.0037
2515.TW,tw,2020-09-24,down,0.0103,1.23,False,False,False,False,-0.0609,-0.0436,0.0756,0.0106,0.1207
2515.TW,tw,2020-11-30,up,0.0134,7.47,True,True,False,True,0.0086,0.0643,-0.1944,-0.1393,-0.1951
