label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days,case,exit,entry_gate,min_ratio,max_positions,active_slot
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,869354.5385862582,-13.064546141374178,6.545831633956611,-21.699438436956488,44,35,9,35,17.142857142857142,-5.587197231185079,-6.888383405899967,57.42857142857143,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.55,10,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,868491.8191085209,-13.150818089147908,6.440098978126896,-21.780536071697643,43,34,9,34,17.647058823529413,-5.712196470209084,-7.231850324859796,59.088235294117645,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.6,10,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,861935.5770101919,-13.806442298980814,5.63658299499763,-22.575072126364592,52,43,9,43,11.627906976744185,-4.960129852882718,-5.475042681148579,41.95348837209303,us_bear_2022_defense,break_big_bull_low,spy_above_ma10,0.6,10,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,856550.416920392,-14.344958307960809,4.976591777625283,-21.48155389286176,54,44,10,44,15.909090909090908,-4.236156283774148,-4.389278093445281,43.52272727272727,us_bear_2022_defense,break_big_bull_low,spy_above_ma10,0.5,10,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,856419.2799905381,-14.358072000946187,4.960519976502664,-23.093616858885223,54,45,9,45,11.11111111111111,-5.179137424641739,-5.475042681148579,40.8,us_bear_2022_defense,break_big_bull_low,spy_above_ma10,0.55,10,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,853238.1502952952,-14.676184970470485,4.570648993064408,-21.32512338027286,23,18,5,18,38.88888888888889,-1.7918247304538157,-3.5145497623244704,56.666666666666664,us_bear_2022_defense,break_big_bull_low,always,0.5,5,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,853132.4386802797,-14.686756131972034,4.557693252413975,-23.21516638331078,60,50,10,50,12.0,-4.722948440285615,-4.389278093445281,39.04,us_bear_2022_defense,break_big_bull_low,spy_above_ma10_or_up_day,0.6,10,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,852549.4397480247,-14.745056025197535,4.486242419270781,-24.52824272708023,43,34,9,34,26.47058823529412,-4.994349310945494,-6.057592663342831,39.35294117647059,us_bear_2022_defense,break_big_bull_low,spy_ret20_positive,0.7,10,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,851177.4875125997,-14.88225124874003,4.318099520835883,-24.799235334309877,62,53,9,53,15.09433962264151,-4.397949565027961,-4.401310936084557,34.924528301886795,us_bear_2022_defense,break_big_bull_low,spy_above_ma5,0.6,10,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,849429.8946941474,-15.057010530585258,4.103919089337449,-24.963339003020824,62,53,9,53,15.09433962264151,-4.429944452529397,-4.401310936084557,35.113207547169814,us_bear_2022_defense,break_big_bull_low,spy_above_ma5,0.55,10,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,846946.7168961436,-15.305328310385635,3.799587275514371,-24.925991222436416,48,40,8,40,15.0,-6.200716363530305,-7.266693993528451,49.575,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma5,0.6,10,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,846941.3223201236,-15.305867767987646,3.798926130305058,-23.08065997298798,46,36,10,36,16.666666666666664,-6.492335411810939,-7.860955045793627,57.69444444444444,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.5,10,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,845606.587280917,-15.439341271908303,3.6353444746614283,-22.384755679148725,24,19,5,19,26.31578947368421,-3.308834796618982,-4.5841775253127715,43.78947368421053,us_bear_2022_defense,break_big_bull_low,always,0.6,5,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,845524.846318856,-15.447515368114395,3.625326514905325,-24.676712677197187,91,76,15,76,22.36842105263158,-4.456222106388399,-4.481192431977032,32.5,us_bear_2022_defense,break_big_bull_low,spy_ret20_positive,0.6,none,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,845248.251698495,-15.475174830150495,3.5914277974732345,-25.085481675343424,48,40,8,40,15.0,-6.239207235880917,-7.266693993528451,49.825,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma5,0.55,10,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,844718.3788209071,-15.528162117909295,3.5264879554443462,-24.037126844196987,47,37,10,37,16.216216216216218,-6.727240559860294,-8.148875621324391,56.91891891891892,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma10_or_up_day,0.55,10,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,843264.3400703367,-15.673565992966331,3.348284747165886,-24.88391405222793,91,76,15,76,22.36842105263158,-4.472548841595754,-4.481192431977032,32.328947368421055,us_bear_2022_defense,break_big_bull_low,spy_ret20_positive,0.6,20,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,843215.4374254062,-15.678456257459384,3.342291366166572,-23.04222226377751,44,35,9,35,17.142857142857142,-5.587197231185079,-6.888383405899967,57.42857142857143,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.55,10,25000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,843071.7681308243,-15.69282318691757,3.3246836310112604,-24.642955437859506,56,47,9,47,23.404255319148938,-4.54389341269534,-4.401310936084557,36.702127659574465,us_bear_2022_defense,break_big_bull_low,spy_above_ma20,0.6,10,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,843070.4057952653,-15.692959420473462,3.3245166667076997,-24.887922251757487,48,39,9,39,23.076923076923077,-5.060272394808398,-6.4447278141093856,40.87179487179487,us_bear_2022_defense,break_big_bull_low,spy_ret20_positive,0.55,10,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,842784.0776865375,-15.721592231346248,3.2894250382517143,-23.08204219105412,43,34,9,34,17.647058823529413,-5.712196470209084,-7.231850324859796,59.088235294117645,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.6,10,25000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,842690.2446492739,-15.730975535072611,3.2779251052022618,-22.298297700194304,24,19,5,19,31.57894736842105,-2.8676982283876393,-4.5841775253127715,53.1578947368421,us_bear_2022_defense,break_big_bull_low,always,0.55,5,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,841450.7942588326,-15.854920574116738,3.1260212883390537,-25.52349886834574,80,67,13,67,16.417910447761194,-5.073243723814483,-4.7538576779293855,37.28358208955224,us_bear_2022_defense,break_big_bull_low,spy_above_ma20,0.55,15,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,841271.3958270316,-15.872860417296842,3.104034683033974,-25.053768447517044,47,38,9,38,23.684210526315788,-5.132153720929153,-6.258881239893249,41.55263157894737,us_bear_2022_defense,break_big_bull_low,spy_ret20_positive,0.6,10,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,840496.314508868,-15.950368549113191,3.0090427321528557,-24.573190011246226,45,38,7,38,15.789473684210526,-6.479098055212401,-8.298966735514156,52.39473684210526,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma20,0.6,10,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,839650.9780024666,-16.034902199753343,2.905440488088473,-24.500048739583193,47,37,10,37,16.216216216216218,-6.870425508938838,-8.227006942989522,56.891891891891895,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma10_or_up_day,0.6,10,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,839505.9566373734,-16.04940433626266,2.887667046687148,-23.425554246997883,52,43,9,43,11.627906976744185,-4.960129852882718,-5.475042681148579,41.95348837209303,us_bear_2022_defense,break_big_bull_low,spy_above_ma10,0.6,10,25000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,839286.8157743094,-16.071318422569057,2.8608097123502096,-24.99188065814357,55,46,9,46,19.565217391304348,-4.801683567919381,-5.387100778707832,37.58695652173913,us_bear_2022_defense,break_big_bull_low,spy_above_ma20,0.55,10,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,839231.6704448535,-16.076832955514654,2.854051244168554,-24.692069490645498,46,39,7,39,15.384615384615385,-6.307297588044444,-8.297241396655652,51.02564102564103,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma20,0.55,10,50000.0
