symbol,market,sector_official,industry_group,industry,source
4129.TWO,tw,生技醫療業,生技醫療業,生技醫療業,TPEx OpenAPI mopsfin_t187ap03_O
4168.TWO,tw,生技醫療業,生技醫療業,生技醫療業,TPEx OpenAPI mopsfin_t187ap03_O
4198.TWO,tw,生技醫療業,生技醫療業,生技醫療業,TPEx OpenAPI mopsfin_t187ap03_O
4441.TW,tw,紡織纖維,紡織纖維,紡織纖維,TWSE OpenAPI t187ap03_L
4536.TW,tw,運動休閒,運動休閒,運動休閒,TWSE OpenAPI t187ap03_L
4551.TW,tw,汽車工業,汽車工業,汽車工業,TWSE OpenAPI t187ap03_L
4571.TW,tw,電機機械,電機機械,電機機械,TWSE OpenAPI t187ap03_L
4572.TW,tw,電機機械,電機機械,電機機械,TWSE OpenAPI t187ap03_L
4576.TW,tw,電機機械,電機機械,電機機械,TWSE OpenAPI t187ap03_L
4722.TW,tw,化學工業,化學工業,化學工業,TWSE OpenAPI t187ap03_L
4746.TW,tw,生技醫療業,生技醫療業,生技醫療業,TWSE OpenAPI t187ap03_L
4749.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
4755.TW,tw,化學工業,化學工業,化學工業,TWSE OpenAPI t187ap03_L
4771.TW,tw,生技醫療業,生技醫療業,生技醫療業,TWSE OpenAPI t187ap03_L
4958.TW,tw,電子零組件業,電子零組件業,電子零組件業,TWSE OpenAPI t187ap03_L
4961.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
4968.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
4971.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
4991.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
5234.TW,tw,光電業,光電業,光電業,TWSE OpenAPI t187ap03_L
5258.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
5269.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
5274.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
5285.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
5347.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
5434.TW,tw,電子通路業,電子通路業,電子通路業,TWSE OpenAPI t187ap03_L
6005.TW,tw,金融保險業,金融保險業,金融保險業,TWSE OpenAPI t187ap03_L
6146.TWO,tw,其他電子業,其他電子業,其他電子業,TPEx OpenAPI mopsfin_t187ap03_O
6163.TWO,tw,通信網路業,通信網路業,通信網路業,TPEx OpenAPI mopsfin_t187ap03_O
6173.TWO,tw,電子零組件業,電子零組件業,電子零組件業,TPEx OpenAPI mopsfin_t187ap03_O
6176.TW,tw,光電業,光電業,光電業,TWSE OpenAPI t187ap03_L
6177.TW,tw,建材營造,建材營造,建材營造,TWSE OpenAPI t187ap03_L
6196.TW,tw,其他電子業,其他電子業,其他電子業,TWSE OpenAPI t187ap03_L
6223.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
6239.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
6257.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
6271.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
6274.TWO,tw,電子零組件業,電子零組件業,電子零組件業,TPEx OpenAPI mopsfin_t187ap03_O
6277.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
6279.TWO,tw,電子零組件業,電子零組件業,電子零組件業,TPEx OpenAPI mopsfin_t187ap03_O
6285.TW,tw,通信網路業,通信網路業,通信網路業,TWSE OpenAPI t187ap03_L
6409.TW,tw,其他電子業,其他電子業,其他電子業,TWSE OpenAPI t187ap03_L
6414.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
6415.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
6438.TW,tw,其他電子業,其他電子業,其他電子業,TWSE OpenAPI t187ap03_L
6442.TW,tw,通信網路業,通信網路業,通信網路業,TWSE OpenAPI t187ap03_L
6446.TW,tw,生技醫療業,生技醫療業,生技醫療業,TWSE OpenAPI t187ap03_L
6472.TW,tw,生技醫療業,生技醫療業,生技醫療業,TWSE OpenAPI t187ap03_L
6488.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
6491.TW,tw,生技醫療業,生技醫療業,生技醫療業,TWSE OpenAPI t187ap03_L
6505.TW,tw,油電燃氣業,油電燃氣業,油電燃氣業,TWSE OpenAPI t187ap03_L
6510.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
6515.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
6526.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
6531.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
6548.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
6561.TWO,tw,通信網路業,通信網路業,通信網路業,TPEx OpenAPI mopsfin_t187ap03_O
6584.TWO,tw,電子零組件業,電子零組件業,電子零組件業,TPEx OpenAPI mopsfin_t187ap03_O
6589.TW,tw,生技醫療業,生技醫療業,生技醫療業,TWSE OpenAPI t187ap03_L
6643.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
6669.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
6670.TW,tw,運動休閒,運動休閒,運動休閒,TWSE OpenAPI t187ap03_L
